Sector,Transaction,Country,Position,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
S1,F5,AU,LIAB,450614.7401,533877.2838,517692.2764,568880.2665,684748.2767,610126.8479,615121.8625,757305.5228,1145151.75,1406159.658,1479911.053,1932850.746,2421598.276,1381121.048,2199423.024,2541631.131,2234493.667,2528089.322,2408886.45
S1,F6,AU,LIAB,310030.26,364215.5962,332805.8608,334962.2624,407638.4157,371737.8779,364646.0113,409943.5213,599853.7501,722813.8463,799581.1242,1005800.857,1322641.559,905897.6591,1390551.966,1690614.033,1718886.75,2110475.283,2027556.702
S1,F7,AU,LIAB,70192.41001,78792.97491,68865.07265,70352.94113,74013.42899,69800.12199,65806.12801,138128.4534,116070.75,129441.7561,124635.8201,148375.8717,199941.5905,188723.5696,234360.8668,281826.0877,272630.7108,302708.5029,267434.8875
S11,BF90,AU,ASS,-447841.8501,-503839.6725,-449461.6282,-474178.8232,-555275.6089,-504365.4779,-455328.5713,-576209.8499,-818091.0002,-981353.0404,-1058086.379,-1374131.224,-1755619.122,-1088648.6,-1607891.464,-1779749.641,-1604617.532,-1827915.022,-1689990.799
S11,F_AS,AU,ASS,147919.75,168028.8625,158329.3576,175084.8967,205857.4294,177696.608,201988.7646,253495.1007,372777.7501,428466.3592,420842.2494,534508.9068,691753.6115,593196.1439,771430.8649,975279.0828,938529.1627,973618.7406,877077.3914
S11,F2,AU,ASS,55026.44501,65908.78945,59814.73431,72951.57987,83880.57859,65858.96599,58613.81641,75864.57182,130085.25,139208.8581,149185.4221,195630.7252,236762.4961,236076.4496,303995.2859,411607.5977,423062.3984,418573.3803,377107.3485
S11,F3,AU,ASS,10977.575,12160.96337,11142.24187,13080.98141,19763.7202,17574.542,19225.6218,24612.14781,36222.75001,40285.20602,36338.69361,47877.60651,62855.43522,63775.01119,54623.00378,63515.70108,61546.37559,59286.64947,55964.74499
S11,F4,AU,ASS,10495.56,9799.340608,8702.449233,8867.171742,8961.636599,5594.845999,8035.312201,13784.139,18636,19526.41401,20148.8694,22669.95371,31162.79681,27569.2832,42519.33829,48257.98919,53938.51599,53921.83148,42503.2425
S11,F5,AU,ASS,42725.00501,48580.92999,51428.19189,53942.77997,62829.52619,64916.61199,90355.77602,97355.25902,135093,169966.1151,136950.9746,168675.882,228138.6849,158504.3264,224347.8752,271189.4919,218877.034,246207.2719,227256.9345
S11,F6,AU,ASS,10858.375,13127.91448,11823.00798,10528.99907,13390.4778,11237.89,10876.2906,12703.2632,18794.25,20128.58101,20235.446,22241.06911,25828.23521,21943.0544,28699.90309,36583.75109,40446.27,43667.70398,38253.3615
S11,F7,AU,ASS,17836.79,18450.92459,15418.73234,15713.38465,17031.49,12513.752,14881.9476,29175.71981,33946.50001,39351.18502,57982.84361,77413.67032,107005.9632,85328.01919,117245.4587,144124.5519,140658.5688,151961.9034,135991.7595
S11,F_LI,AU,LIAB,595761.6001,671868.5349,607790.9858,649263.7199,761133.0383,682062.0859,657317.3359,829704.9506,1190868.75,1409819.4,1478928.628,1908640.131,2447372.734,1681844.744,2379322.329,2755028.724,2543146.695,2801533.763,2567068.191
S11,F2,AU,LIAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
